Revenue,Zip,DollarPerPet,DollarPerClinic,TotalPets,TotalClinics,PetsPerClinic,Product.Sales,Product.Sales2,Avg.Vet.Cost,PercentCoupon,NumVets5mi,NmVets10mi,Est.Median.Inc,Rnd.Inc.5,Rnd.Pop,Population,Households,Est.Median.Inc2,Rnd.Inc.10,Pop3,Household4,Male,Female,White,PercWhite,Black,PercBlack,American.Indian,Asian,PercAsian,Hawaiian,Other.Race,X2Races,HispOrigin,PercHispanic,X2025Pop,Male5,Female6,White7,Black8,AmInd9,Asian10,HW11,Other12,X2Race13,HispOrigin14,X2025Pop15,target
126193.93,94577,86.49,2474.39,1459,52.13,28.61,0.2415,30286.54,183,0.01,13,38,74836.69,80000,390000,380133,125490,86420.77,90000,973491.52,332933,183619.06,196514.32,133069.25,0.34,73035.2,0.19,3447.36,75141.06,0.19,3177.22,67540.12,24723.17,135055.82,0.35,448478,451165.37,476734.3,389022.76,143617.65,7501.23,209403.9812,8443.56,116235.01,61913.6,256004.41,1101363.4,126193.93
124248.9,95829,85.1,2389.4,1460,52,28.08,0.21,26092.27,165,0.03,5,25,68601.41,70000,160000,156884,48070,66684.41,70000,790187,278609,77192.45,79691.25,64760.58,0.4,23276.712,0.11,1529.61,45256.38,0.28,3395.41,16686.4702,13205.57,35986.89,0.2392,173989.16,382788.97,407397.75,402537.24,103273.4418,5864.28,151684.42,11333.19,68339.56,61011.24,189713.74,870735.2,124248.9
132669.57,95037,89.34,2503.2,1593.8,53,28.02,0.22,29187.31,179,0.02,4,9,119970.77,120000,60000,57618,18787,111167.89,120000,120074,37367,28604.19,29013.53,42951.68,0.72,1646.0835,0.02,402.65,6327.25,0.11,61.37,3346.75,3484.08,20114.24,0.34,62712.05,59428.47,60645.58,90620.51,1978.3,766.82,11606.2,66.1,8637.52,6094.7986,54240.82,132046.81,132669.57
136277.13,70188.29,93.02,2571.27,1465,53,27.64,0.2765,42245.91,178,0.02,4,9,89965.82,90000,40000,37462,13794,94205.7369,110000,123241,43788,18702.76,18758.97,33983,0.85,294.02,0.01,140.49,973.94,0.02,25.27,625.7,1419.32,4758.35,0.12,38534.59,60624.35,62616.81,103922.23,1111.3,638.89,10163.32,360.01,1868.39,5177.02,13501.78,124170.6,136277.13
134830.63,95819,93.89,2592.9,1436,52,27.62,0.29,39100.88,165,0.03,14,31,56566.34,61900,4.00E+05,390918,153715,61665.96,70000,1046388,376778,191727.8091,200733.11,212543.91,0.53,42089.7,0.11,3028.23,51979.74,0.13,3820.9,49974.26,27481.47,116233.33,0.29,431316.57,507664.8,532299.5506,549767.01,122167.94,7826.57,174405.03,14346.88,99463.95,78410.29,272047.6984,1152316.22,134830.63
115559.16,95123,80.64,2061.0359,1433,52,23.1693,0.18,20800.65,189,0.03,11,39,117899.61,120000,4.00E+05,395891,123703,110290.25,120000,1088459,345844,195885.04,200006.38,194120.92,0.49,12276.55,0.03,2314.21,123501.94,0.31,1181.66,38064.03,24432.11,115217.85,0.29,457187.39,547021.55,541437.68,491153.69,31774.78,6092.95,333187.99,5354.41,162587.82,58307.58,347009.4,1245753.16,115559.16
99829.8,93292,71.964,1883.58,1409,53,26.58,0.15,14974.47,179,0.01,2,7,55129.04,60000,130000,120668,38579,57347,60000,222328,69315,58380.21,62287.88,83934.625,0.7015,2572.65,0.02,1315.42,5833.97,0.04,71.38,14677.59,5500.19,64281.61,0.49,127990.07,108733.66,113594.23,169580.43,9527.5278,2363.31,9436.11,474.7264,26552.64,9317.27,121415.3,231682.37,99829.8
106630.03,94080,89.45,2369.56,1192,45,26.49,0.22,23458.61,186,0.02,15,49.99,96760.34,1.00E+05,410000,401071,124052,110031.51,120000,1235257,474265,198442.28,202628.95,123604.44,0.3,14780.23,0.04,1200.53,186272.53,0.45,4045.2,49367.46,21610.5047,105353.702,0.25,461484.06,623689.83,611567.42,555430.88,52887.98,3766.86,437083.53,8075.49,108462.4,69550.09,227061.13,1443122.76,106630.03
109063.36,95407,79.32,2097.37,1375,52,26.44,0.23,25084.57,189,0.05,14,34,71167.7,80000,190000,189433,68397,76149.18,80000,316139,116744,92631.33,96801.67,126277.4528,0.67,4203.09,0.02,2979.32,9761.3,0.05,1138.6,32135.27,12609.91,65419.15,0.34,203288.22,153358.46,162780.66,227099.86,6433.89,3542.48,22393.1411,1331.23,44016.28,19158.29,91652.98,340642.68,109063.36
111435.23,94534,83.1971,2142.99,1374,50.19,26.42,0.239,26744.46,165,0.0279,3.68,12,106573.51,110000,30000,27749,8831,81169.37,90000,303625,100965,13466.17,14282.75,14102.52,0.47,1962.12,0.07,149.16,7112.41,0.24,470.88,2205.74,1746.08,13574.3642,0.2,29734.12,148785.15,154839.84,143553.05,45219.51,1702.93,58905.65,2996.36,25805.2583,21165.37,84840.84,332800.56,111435.23
